gene	biotype
AC007796.1	antisense
AC007842.1	miRNA
AC007879.1	lincRNA
AC007879.2	lincRNA
AC007879.3	lincRNA
AC007879.4	lincRNA
AC007879.5	antisense
AC007879.6	lincRNA
AC007879.7	lincRNA
AC007880.1	lincRNA
AC007881.1	miRNA
AC007881.2	miRNA
AC007919.1	miRNA
AC007919.2	protein_coding
AC007948.1	lincRNA
AC007950.1	lincRNA
AC007952.1	protein_coding
AC007952.4	lincRNA
AC007952.5	protein_coding
AC007952.6	protein_coding
AC007956.1	protein_coding
AC007965.1	protein_coding
AC007966.1	antisense
AC007967.3	pseudogene
AC007970.1	antisense
AC008045.1	miRNA
AC008060.5	antisense
AC008060.7	protein_coding
AC008060.8	lincRNA
AC008063.2	antisense
AC008063.3	lincRNA
AC008064.1	miRNA
AC008067.2	antisense
AC008069.1	lincRNA
AC008073.7	antisense
AC008073.9	antisense
AC008074.3	antisense
AC008074.4	lincRNA
AC008079.9	antisense
AC008085.1	miRNA
AC008088.4	lincRNA
AC008122.1	miRNA
AC008132.13	protein_coding
AC008132.1	protein_coding
AC008154.4	antisense
AC008154.5	lincRNA
AC008163.4	lincRNA
AC008166.1	miRNA
AC008174.3	antisense
AC008175.1	lincRNA
AC008267.1	protein_coding
AC008268.1	lincRNA
AC008268.2	pseudogene
AC008269.2	lincRNA
AC008271.1	protein_coding
AC008277.1	antisense
AC008278.2	antisense
AC008278.3	antisense
AC008281.1	lincRNA
AC008372.1	protein_coding
AC008387.1	protein_coding
AC008391.1	miRNA
AC008394.1	protein_coding
AC008397.1	miRNA
AC008410.1	miRNA
AC008440.10	lincRNA
AC008440.5	antisense
AC008443.1	protein_coding
AC008498.1	protein_coding
AC008536.1	miRNA
AC008581.1	miRNA
AC008592.4	antisense
AC008592.5	processed_transcript
AC008592.7	lincRNA
AC008592.8	lincRNA
AC008625.1	miRNA
AC008671.1	miRNA
AC008674.1	miRNA
AC008686.1	protein_coding
AC008691.1	lincRNA
AC008694.3	antisense
AC008697.1	lincRNA
AC008703.1	lincRNA
AC008703.2	miRNA
AC008706.1	miRNA
AC008738.2	miRNA
AC008746.12	lincRNA
AC008746.3	antisense
AC008747.1	miRNA
AC008752.1	miRNA
AC008752.2	miRNA
AC008752.3	miRNA
AC008753.4	lincRNA
AC008753.6	antisense
AC008780.1	miRNA
AC008781.7	antisense
AC008834.1	lincRNA
AC008836.1	miRNA
AC008869.1	miRNA
AC008914.1	protein_coding
AC008937.2	antisense
AC008937.3	antisense
AC008938.1	miRNA
AC008940.1	lincRNA
AC008948.1	protein_coding
AC008949.1	miRNA
AC008964.1	protein_coding
AC008967.1	miRNA
AC008982.2	sense_intronic
AC008984.2	processed_transcript
AC008991.1	lincRNA
AC008992.1	lincRNA
AC009005.2	antisense
AC009009.1	miRNA
AC009014.3	lincRNA
AC009035.1	miRNA
AC009041.2	protein_coding
AC009052.12	processed_transcript
AC009060.1	protein_coding
AC009065.1	protein_coding
AC009065.2	miRNA
AC009065.3	miRNA
AC009080.1	miRNA
AC009081.1	miRNA
AC009095.4	antisense
AC009110.1	lincRNA
AC009120.10	lincRNA
AC009120.4	lincRNA
AC009120.5	lincRNA
AC009120.6	antisense
AC009121.1	miRNA
AC009132.1	miRNA
AC009133.12	antisense
AC009133.14	antisense
AC009133.15	antisense
AC009133.17	antisense
AC009133.20	antisense
AC009133.21	lincRNA
AC009134.1	antisense
AC009142.1	miRNA
AC009158.1	lincRNA
AC009159.1	miRNA
AC009166.5	antisense
AC009196.1	miRNA
AC009227.2	antisense
AC009227.3	lincRNA
AC009228.1	antisense
AC009229.5	lincRNA
AC009229.6	lincRNA
AC009232.2	lincRNA
AC009234.2	miRNA
AC009236.1	processed_transcript
AC009236.2	lincRNA
AC009237.8	pseudogene
AC009262.2	lincRNA
AC009276.4	lincRNA
AC009297.1	miRNA
AC009299.1	miRNA
AC009299.2	antisense
AC009299.3	lincRNA
AC009303.1	antisense
AC009305.1	antisense
AC009305.2	miRNA
AC009312.1	antisense
AC009313.1	antisense
AC009336.1	miRNA
AC009336.24	lincRNA
AC009365.3	protein_coding
AC009365.4	antisense
AC009403.2	protein_coding
AC009404.2	lincRNA
AC009410.1	lincRNA
AC009411.1	lincRNA
AC009411.2	lincRNA
AC009473.1	antisense
AC009478.1	lincRNA
AC009478.2	miRNA
AC009480.1	miRNA
AC009480.3	antisense
AC009487.4	antisense
AC009487.5	3prime_overlapping_ncrna
AC009492.1	lincRNA
AC009495.1	miRNA
AC009495.2	lincRNA
AC009495.3	lincRNA
AC009495.4	lincRNA
AC009498.1	lincRNA
AC009499.1	lincRNA
AC009499.2	lincRNA
AC009501.4	antisense
AC009502.4	lincRNA
AC009505.2	antisense
AC009505.4	lincRNA
AC009506.1	antisense
AC009508.1	lincRNA
AC009518.4	lincRNA
AC009518.8	antisense
AC009531.2	lincRNA
AC009542.2	antisense
AC009677.1	miRNA
AC009695.1	miRNA
AC009779.1	miRNA
AC009784.1	miRNA
AC009784.3	lincRNA
AC009800.1	miRNA
AC009802.1	protein_coding
AC009831.1	miRNA
AC009835.1	miRNA
AC009878.2	lincRNA
AC009892.10	protein_coding
AC009892.1	miRNA
AC009941.1	miRNA
AC009947.3	pseudogene
AC009948.5	antisense
AC009950.2	antisense
AC009955.8	antisense
AC009961.3	lincRNA
AC009965.2	lincRNA
AC009970.1	antisense
AC009977.1	protein_coding
AC009987.1	miRNA
AC009994.2	miRNA
AC009997.1	miRNA
AC010082.2	antisense
AC010084.1	lincRNA
AC010090.1	lincRNA
AC010091.1	lincRNA
AC010092.1	miRNA
AC010095.5	antisense
AC010096.1	lincRNA
AC010096.2	lincRNA
AC010105.1	lincRNA
AC010127.3	antisense
AC010127.5	processed_transcript
AC010132.10	lincRNA
AC010136.2	antisense
AC010139.1	miRNA
AC010145.4	lincRNA
AC010146.2	miRNA
AC010148.1	processed_transcript
AC010149.4	antisense
AC010150.2	miRNA
AC010196.1	miRNA
AC010203.1	miRNA
AC010207.1	miRNA
AC010209.1	miRNA
AC010226.4	antisense
AC010235.1	miRNA
AC010247.1	miRNA
AC010295.1	miRNA
AC010297.1	miRNA
AC010311.1	miRNA
AC010319.1	miRNA
AC010323.1	miRNA
AC010327.1	miRNA
AC010327.2	protein_coding
AC010329.1	miRNA
AC010336.1	protein_coding
AC010368.1	miRNA
AC010368.2	protein_coding
AC010376.1	miRNA
AC010422.1	miRNA
AC010423.1	pseudogene
AC010441.1	protein_coding
AC010455.1	miRNA
AC010458.1	miRNA
AC010468.2	antisense
AC010504.2	antisense
AC010524.2	antisense
AC010524.4	antisense
AC010525.2	miRNA
AC010525.4	antisense
AC010525.6	lincRNA
AC010525.7	lincRNA
AC010528.1	miRNA
AC010536.1	protein_coding
AC010543.1	miRNA
AC010546.1	miRNA
AC010547.9	protein_coding
AC010595.1	miRNA
AC010609.1	miRNA
AC010641.1	lincRNA
AC010642.1	protein_coding
AC010646.3	protein_coding
AC010649.1	antisense
AC010723.1	lincRNA
AC010723.2	miRNA
AC010724.1	miRNA
AC010729.1	3prime_overlapping_ncrna
AC010729.2	lincRNA
AC010729.3	lincRNA
AC010731.2	antisense
AC010731.3	antisense
AC010731.4	lincRNA
AC010733.4	lincRNA
AC010739.1	miRNA
AC010744.1	lincRNA
AC010745.1	lincRNA
AC010745.2	lincRNA
AC010745.3	lincRNA
AC010745.4	lincRNA
AC010746.3	antisense
AC010754.1	miRNA
AC010760.1	protein_coding
AC010761.10	antisense
AC010761.13	antisense
AC010761.14	antisense
AC010761.6	antisense
AC010761.8	antisense
AC010761.9	antisense
AC010874.1	miRNA
AC010877.1	protein_coding
AC010880.1	lincRNA
AC010883.5	antisense
AC010884.1	antisense
AC010884.2	miRNA
AC010887.1	miRNA
AC010890.1	antisense
AC010891.2	lincRNA
AC010894.3	lincRNA
AC010894.5	antisense
AC010907.2	antisense
AC010907.5	antisense
AC010928.1	miRNA
AC010930.1	miRNA
AC010967.2	lincRNA
AC010967.3	lincRNA
AC010969.1	antisense
AC010970.1	miRNA
AC010971.1	lincRNA
AC010974.3	antisense
AC010975.1	antisense
AC010976.2	antisense
AC010980.2	pseudogene
AC010982.1	lincRNA
AC010982.2	lincRNA
AC010983.1	lincRNA
AC010987.5	lincRNA
